SeqID	Source	Start	End	Strand	Partial	COG	COGcolor
CP003879.1	Prodigal	1	1359	-	00	408489462 | group II retron-type reverse transcriptase [Psychroflexus torquis ATCC 700755] | COG3344 | X | 100.0	X
CP003879.1	Prodigal	1952	2572	-	00	#	#
CP003879.1	Prodigal	2949	3725	+	00	408489464 | integron integrase [Psychroflexus torquis ATCC 700755] | COG4974 | L | 100.0	L
CP003879.1	Prodigal	3725	4858	+	00	#	#
CP003879.1	Prodigal	5159	5662	-	00	#	#
CP003879.1	Prodigal	5674	6069	-	00	#	#
CP003879.1	Prodigal	6127	6501	-	00	#	#
CP003879.1	Prodigal	6785	7417	-	00	#	#
CP003879.1	Prodigal	7482	7835	+	00	408489468 | hypothetical protein P700755_000009 [Psychroflexus torquis ATCC 700755] | COG4068 | R | 100.0	R
CP003879.1	Prodigal	8350	9540	-	00	408489469 | major facilitator superfamily protein [Psychroflexus torquis ATCC 700755] | COG2814 | G | 100.0	G
CP003879.1	Prodigal	10053	11096	-	00	408489470 | transposase [Psychroflexus torquis ATCC 700755] | COG3039 | X | 100.0	X
CP003879.1	Prodigal	11403	11981	-	00	390952950 | cytochrome B561 [Aequorivita sublithincola DSM 14238] | COG3038 | C | 71.3	C
CP003879.1	Prodigal	12085	12225	-	00	#	#
CP003879.1	Prodigal	12225	12383	-	00	#	#
CP003879.1	Prodigal	12892	15150	-	00	408489473 | FusC-like integral membrane protein, YccS/YhfK family [Psychroflexus torquis ATCC 700755] | COG1289 | S | 100.0	S
CP003879.1	Prodigal	15563	16921	+	00	408489474 | dihydroorotase PyrC [Psychroflexus torquis ATCC 700755] | COG0044 | F | 100.0	F
CP003879.1	Prodigal	16918	17874	+	00	408489475 | YrdC/Sua5 family protein [Psychroflexus torquis ATCC 700755] | COG0009 | J | 100.0	J
CP003879.1	Prodigal	17889	18737	+	00	#	#
CP003879.1	Prodigal	19194	19862	-	00	#	#
CP003879.1	Prodigal	20051	21220	-	00	#	#
CP003879.1	Prodigal	21266	21712	-	00	408489479 | hypothetical protein P700755_000022 [Psychroflexus torquis ATCC 700755] | COG4731 | S | 100.0	S
CP003879.1	Prodigal	21729	22202	-	00	#	#
CP003879.1	Prodigal	23409	24443	-	00	408489481 | transposase, ISXo7 family [Psychroflexus torquis ATCC 700755] | COG3415 | X | 100.0	X
CP003879.1	Prodigal	24481	25320	-	00	#	#
CP003879.1	Prodigal	25877	28747	+	00	408489483 | TonB-dependent outer membrane receptor protein [Psychroflexus torquis ATCC 700755] | COG4771 | P | 100.0	P
CP003879.1	Prodigal	28904	29092	-	00	#	#
CP003879.1	Prodigal	29459	30826	-	00	408489484 | hypothetical protein P700755_000028 [Psychroflexus torquis ATCC 700755] | COG1073 | T | 100.0	T
CP003879.1	Prodigal	30893	31648	-	00	408489485 | metal-dependent hydrolase, beta-lactamase superfamily [Psychroflexus torquis ATCC 700755] | COG2220 | G | 100.0	G
CP003879.1	Prodigal	31884	33317	+	00	408489486 | transposase, IS4 family [Psychroflexus torquis ATCC 700755] | COG3385 | X | 100.0	X
CP003879.1	Prodigal	33328	33849	+	00	408489487 | acetyltransferase, NAT_SF superfamily [Psychroflexus torquis ATCC 700755] | COG0456 | J | 100.0	J
CP003879.1	Prodigal	34211	34720	+	00	408489488 | flavoprotein, FMN_red superfamily [Psychroflexus torquis ATCC 700755] | COG0431 | C | 100.0	C
CP003879.1	Prodigal	34783	36939	+	00	#	#
CP003879.1	Prodigal	37455	38132	-	00	408489490 | dienelactone hydrolase family protein [Psychroflexus torquis ATCC 700755] | COG0412 | Q | 100.0	Q
CP003879.1	Prodigal	38300	39010	-	00	#	#
CP003879.1	Prodigal	39007	39606	-	00	#	#
CP003879.1	Prodigal	39879	40751	+	00	408489493 | polyphosphate:nucleotide phosphotransferase, PPK2 family [Psychroflexus torquis ATCC 700755] | COG2326 | C | 100.0	C
CP003879.1	Prodigal	40857	41744	+	00	408489494 | outer membrane phospholipase A1, putative [Psychroflexus torquis ATCC 700755] | COG2829 | M | 100.0	M
CP003879.1	Prodigal	41988	43259	+	00	408489495 | ATP-dependent RNA helicase RhlE [Psychroflexus torquis ATCC 700755] | COG0513 | L | 100.0	L
CP003879.1	Prodigal	43278	43505	+	00	408489496 | hypothetical protein P700755_000041 [Psychroflexus torquis ATCC 700755] | COG4628 | S | 98.5	S
CP003879.1	Prodigal	43498	44034	+	00	284036231 | hypothetical protein Slin_1312 [Spirosoma linguale DSM 74] | COG2318 | S | 50.6	S
CP003879.1	Prodigal	44044	44505	-	00	408489498 | hypothetical protein P700755_000043 [Psychroflexus torquis ATCC 700755] | COG4807 | S | 100.0	S
