SeqID	startPosition	endPosition	GCcontent	GCskew
CP003879.1	0	1000	0.3664	-0.1148
CP003879.1	200	1200	0.3764	-0.1330
CP003879.1	400	1400	0.3854	-0.1221
CP003879.1	600	1600	0.3934	-0.1399
CP003879.1	800	1800	0.3984	-0.1809
CP003879.1	1000	2000	0.3914	-0.1407
CP003879.1	1200	2200	0.3524	-0.1307
CP003879.1	1400	2400	0.3183	-0.1132
CP003879.1	1600	2600	0.2943	-0.0748
CP003879.1	1800	2800	0.2823	-0.0142
CP003879.1	2000	3000	0.2803	-0.1071
CP003879.1	2200	3200	0.3223	-0.1056
CP003879.1	2400	3400	0.3584	-0.0615
CP003879.1	2600	3600	0.3844	-0.0781
CP003879.1	2800	3800	0.3864	-0.0829
CP003879.1	3000	4000	0.4024	-0.0199
CP003879.1	3200	4200	0.4044	-0.0248
CP003879.1	3400	4400	0.4084	0.0049
CP003879.1	3600	4600	0.3954	0.0532
CP003879.1	3800	4800	0.3964	0.0404
CP003879.1	4000	5000	0.3714	0.0081
CP003879.1	4200	5200	0.3634	-0.0193
CP003879.1	4400	5400	0.3524	-0.1420
CP003879.1	4600	5600	0.3473	-0.1816
CP003879.1	4800	5800	0.3303	-0.2061
CP003879.1	5000	6000	0.3263	-0.1963
CP003879.1	5200	6200	0.3053	-0.1213
CP003879.1	5400	6400	0.3163	-0.0949
CP003879.1	5600	6600	0.3273	-0.1009
CP003879.1	5800	6800	0.3233	-0.0341
CP003879.1	6000	7000	0.3383	-0.0355
CP003879.1	6200	7200	0.3534	-0.0255
CP003879.1	6400	7400	0.3373	0.0208
CP003879.1	6600	7600	0.3263	0.0675
CP003879.1	6800	7800	0.3403	0.0529
CP003879.1	7000	8000	0.3333	0.0751
CP003879.1	7200	8200	0.3243	0.0370
CP003879.1	7400	8400	0.3283	0.0793
CP003879.1	7600	8600	0.3393	0.1032
CP003879.1	7800	8800	0.3524	0.0455
CP003879.1	8000	9000	0.3584	0.0112
CP003879.1	8200	9200	0.3744	-0.0267
CP003879.1	8400	9400	0.3844	-0.0729
CP003879.1	8600	9600	0.3814	-0.1234
CP003879.1	8800	9800	0.3594	-0.1309
CP003879.1	9000	10000	0.3473	-0.1182
CP003879.1	9200	10200	0.3323	-0.1205
CP003879.1	9400	10400	0.3183	-0.1384
CP003879.1	9600	10600	0.3233	-0.1765
CP003879.1	9800	10800	0.3483	-0.1264
CP003879.1	10000	11000	0.3564	-0.1966
CP003879.1	10200	11200	0.3514	-0.1453
CP003879.1	10400	11400	0.3483	-0.0805
CP003879.1	10600	11600	0.3473	-0.0605
CP003879.1	10800	11800	0.3283	-0.0793
CP003879.1	11000	12000	0.3203	0.0063
CP003879.1	11200	12200	0.3173	0.0158
CP003879.1	11400	12400	0.3113	-0.0289
CP003879.1	11600	12600	0.3103	0.0065
CP003879.1	11800	12800	0.3113	-0.0482
CP003879.1	12000	13000	0.3153	-0.0984
CP003879.1	12200	13200	0.3403	-0.1059
CP003879.1	12400	13400	0.3554	-0.0704
CP003879.1	12600	13600	0.3614	-0.0083
CP003879.1	12800	13800	0.3724	0.0269
CP003879.1	13000	14000	0.3794	0.0712
CP003879.1	13200	14200	0.3764	0.0745
CP003879.1	13400	14400	0.3694	0.0352
CP003879.1	13600	14600	0.3714	0.0296
CP003879.1	13800	14800	0.3784	0.0529
CP003879.1	14000	15000	0.3724	0.0323
CP003879.1	14200	15200	0.3694	0.0136
CP003879.1	14400	15400	0.3634	0.0083
CP003879.1	14600	15600	0.3313	-0.0393
CP003879.1	14800	15800	0.3313	-0.0514
CP003879.1	15000	16000	0.3323	-0.0301
CP003879.1	15200	16200	0.3303	0.0061
CP003879.1	15400	16400	0.3493	0.0086
CP003879.1	15600	16600	0.3764	-0.0053
CP003879.1	15800	16800	0.3744	-0.0053
CP003879.1	16000	17000	0.3684	-0.0163
CP003879.1	16200	17200	0.3674	-0.0300
CP003879.1	16400	17400	0.3694	-0.0407
CP003879.1	16600	17600	0.3684	-0.0272
CP003879.1	16800	17800	0.3473	-0.0144
CP003879.1	17000	18000	0.3504	0.0171
CP003879.1	17200	18200	0.3624	0.0773
CP003879.1	17400	18400	0.3493	0.1232
CP003879.1	17600	18600	0.3493	0.1576
CP003879.1	17800	18800	0.3524	0.1591
CP003879.1	18000	19000	0.3514	0.1453
CP003879.1	18200	19200	0.3263	0.0675
CP003879.1	18400	19400	0.3423	0.0117
CP003879.1	18600	19600	0.3504	-0.0914
CP003879.1	18800	19800	0.3564	-0.1798
CP003879.1	19000	20000	0.3594	-0.1866
CP003879.1	19200	20200	0.3704	-0.2162
CP003879.1	19400	20400	0.3614	-0.2133
CP003879.1	19600	20600	0.3564	-0.2022
CP003879.1	19800	20800	0.3604	-0.1333
CP003879.1	20000	21000	0.3644	-0.1648
CP003879.1	20200	21200	0.3644	-0.1593
CP003879.1	20400	21400	0.3514	-0.1738
CP003879.1	20600	21600	0.3463	-0.1618
CP003879.1	20800	21800	0.3333	-0.2192
CP003879.1	21000	22000	0.3323	-0.2349
CP003879.1	21200	22200	0.3383	-0.1716
CP003879.1	21400	22400	0.3113	-0.1576
CP003879.1	21600	22600	0.2943	-0.0816
CP003879.1	21800	22800	0.3073	-0.0163
CP003879.1	22000	23000	0.3033	-0.0165
CP003879.1	22200	23200	0.2883	-0.0486
CP003879.1	22400	23400	0.3083	-0.0195
CP003879.1	22600	23600	0.3213	-0.0654
CP003879.1	22800	23800	0.3063	-0.0719
CP003879.1	23000	24000	0.3163	-0.0443
CP003879.1	23200	24200	0.3323	-0.0602
CP003879.1	23400	24400	0.3433	-0.1254
CP003879.1	23600	24600	0.3303	-0.1515
CP003879.1	23800	24800	0.3373	-0.1751
CP003879.1	24000	25000	0.3243	-0.1914
CP003879.1	24200	25200	0.3013	-0.1960
CP003879.1	24400	25400	0.2803	-0.1429
CP003879.1	24600	25600	0.2883	-0.1458
CP003879.1	24800	25800	0.2743	-0.1533
CP003879.1	25000	26000	0.2653	-0.1245
CP003879.1	25200	26200	0.2843	-0.0211
CP003879.1	25400	26400	0.3233	-0.0402
CP003879.1	25600	26600	0.3483	0.0460
CP003879.1	25800	26800	0.3664	0.1202
CP003879.1	26000	27000	0.3884	0.1340
CP003879.1	26200	27200	0.3924	0.1429
CP003879.1	26400	27400	0.3764	0.1649
CP003879.1	26600	27600	0.3664	0.1311
CP003879.1	26800	27800	0.3704	0.1243
